ID,Symbol,Direction,SetupType,Leverage,Entry,SL,TP1,Exit,ExitReason,PnL$,PnL%,RR,SweepDist%,KillZone
1,PAXG-USDT,SHORT,TRAP_LIQ_SWEEP,300,4266.848880,4275.391120,4211.550000,4275.391120,SL,-1.02,-4.08,-1.00,0.3507,London
2,XRP-USDT,SHORT,STANDARD,15,2.477320,2.482280,2.353500,2.482280,SL,-0.05,-0.21,-1.00,0.0000,NY
3,DOGE-USDT,SHORT,STANDARD,15,0.202198,0.202602,0.191590,0.199680,TIME,0.17,0.69,6.22,0.0000,NY
4,ADA-USDT,SHORT,STANDARD,15,0.674725,0.676075,0.637710,0.666590,TIME,0.16,0.66,6.02,0.0000,NY
5,BTC-USDT,LONG,STANDARD,15,107526.419000,107311.581000,111664.600000,111664.600000,TP1,0.56,2.29,19.26,0.0000,London
6,ETH-USDT,LONG,STANDARD,15,3842.018180,3834.341820,4075.510000,4030.920000,TIME,0.72,2.89,24.61,0.0000,London
7,SOL-USDT,LONG,STANDARD,15,182.837655,182.472345,194.399000,193.567000,TIME,0.86,3.37,29.37,0.0000,London
8,XRP-USDT,LONG,STANDARD,15,2.413711,2.408889,2.551700,2.494200,TIME,0.48,1.82,16.69,0.0000,London
9,DOGE-USDT,LONG,STANDARD,15,0.192883,0.192497,0.202390,0.202390,TP1,0.72,2.67,24.67,0.0000,London
10,ADA-USDT,LONG,STANDARD,15,0.638568,0.637292,0.673970,0.673970,TP1,0.81,2.94,27.75,0.0000,London
11,AVAX-USDT,LONG,STANDARD,15,19.475456,19.436544,21.079000,20.676000,TIME,0.90,3.18,30.85,0.0000,London
12,LINK-USDT,LONG,STANDARD,15,17.680663,17.645337,19.176000,18.710000,TIME,0.85,2.91,29.14,0.0000,London
13,DOT-USDT,LONG,STANDARD,15,2.949947,2.944053,3.130000,3.130000,TP1,0.89,2.97,30.55,0.0000,London
14,NEAR-USDT,LONG,STANDARD,15,2.164963,2.160637,2.329900,2.329900,TP1,1.12,3.61,38.13,0.0000,London
15,APT-USDT,LONG,STANDARD,15,3.112109,3.105891,3.356700,3.320600,TIME,0.98,3.06,33.53,0.0000,London
16,ARB-USDT,LONG,STANDARD,15,0.308608,0.307992,0.328600,0.328600,TP1,0.95,2.87,32.42,0.0000,London
17,OP-USDT,LONG,STANDARD,15,0.425925,0.425074,0.457700,0.457700,TP1,1.10,3.22,37.34,0.0000,London
18,SUI-USDT,LONG,STANDARD,15,2.472870,2.467930,2.672700,2.650000,TIME,1.05,2.99,35.85,0.0000,London
19,BTC-USDT,LONG,STANDARD,15,107526.419000,107311.581000,111664.600000,111664.600000,TP1,0.56,1.53,19.26,0.0000,NY
20,ETH-USDT,LONG,STANDARD,15,3842.018180,3834.341820,4048.800000,3978.410000,TIME,0.51,1.39,17.77,0.0000,NY
21,XRP-USDT,LONG,STANDARD,15,2.402600,2.397800,2.551700,2.482000,TIME,0.47,1.27,16.54,0.0000,NY
22,DOGE-USDT,LONG,STANDARD,15,0.192262,0.191878,0.201870,0.201870,TP1,0.73,1.93,25.01,0.0000,NY
23,NEAR-USDT,LONG,STANDARD,15,2.164462,2.160138,2.329800,2.287700,TIME,0.83,2.16,28.50,0.0000,NY
24,ARB-USDT,LONG,STANDARD,15,0.308608,0.307992,0.328600,0.324900,TIME,0.77,1.96,26.42,0.0000,NY
25,SUI-USDT,LONG,STANDARD,15,2.470868,2.465932,2.640800,2.585500,TIME,0.67,1.68,23.22,0.0000,NY
26,PAXG-USDT,LONG,STANDARD,15,4253.249000,4244.751000,4387.990000,4244.751000,SL,-0.05,-0.12,-1.00,0.0000,NY
27,ETH-USDT,LONG,STANDARD,15,3772.899130,3765.360870,4109.300000,3795.820000,TIME,0.07,0.17,3.04,0.0000,NY
28,SOL-USDT,LONG,STANDARD,15,182.063882,181.700118,197.670000,181.700118,SL,-0.05,-0.12,-1.00,0.0000,NY
29,XRP-USDT,LONG,STANDARD,15,2.366764,2.362036,2.530700,2.362036,SL,-0.05,-0.13,-1.00,0.0000,NY
30,DOGE-USDT,LONG,STANDARD,15,0.186737,0.186363,0.205570,0.190570,TIME,0.29,0.70,10.27,0.0000,NY
31,ADA-USDT,LONG,STANDARD,15,0.623102,0.621858,0.685170,0.626950,TIME,0.07,0.17,3.09,0.0000,NY
32,AVAX-USDT,LONG,STANDARD,15,19.121102,19.082898,20.841000,19.082898,SL,-0.05,-0.12,-1.00,0.0000,NY
33,LINK-USDT,LONG,STANDARD,15,17.117100,17.082900,18.949000,17.220000,TIME,0.07,0.17,3.01,0.0000,NY
34,DOT-USDT,LONG,STANDARD,15,2.917915,2.912085,3.187000,2.941000,TIME,0.10,0.24,3.96,0.0000,NY
35,NEAR-USDT,LONG,STANDARD,15,2.152150,2.147850,2.362400,2.175500,TIME,0.14,0.34,5.43,0.0000,NY
36,ARB-USDT,LONG,STANDARD,15,0.301902,0.301298,0.335000,0.304000,TIME,0.08,0.20,3.48,0.0000,NY
37,OP-USDT,LONG,STANDARD,15,0.423123,0.422277,0.466800,0.422277,SL,-0.05,-0.12,-1.00,0.0000,NY
38,ETH-USDT,SHORT,STANDARD,15,3899.806290,3907.613710,3709.480000,3840.380000,TIME,0.21,0.50,7.61,0.0000,NY
39,SOL-USDT,SHORT,STANDARD,15,189.245565,189.624435,177.015000,189.624435,SL,-0.05,-0.12,-1.00,0.0000,NY
40,XRP-USDT,SHORT,STANDARD,15,2.415482,2.420318,2.324200,2.398800,TIME,0.08,0.20,3.45,0.0000,NY
41,DOGE-USDT,SHORT,STANDARD,15,0.195694,0.196086,0.184720,0.194920,TIME,0.04,0.09,1.98,0.0000,NY
42,ADA-USDT,SHORT,STANDARD,15,0.642147,0.643433,0.606250,0.643433,SL,-0.05,-0.12,-1.00,0.0000,NY
43,LINK-USDT,SHORT,STANDARD,15,17.670312,17.705688,16.710000,17.365000,TIME,0.24,0.57,8.63,0.0000,NY
44,ARB-USDT,SHORT,STANDARD,15,0.312487,0.313113,0.291200,0.313113,SL,-0.05,-0.12,-1.00,0.0000,NY
45,SUI-USDT,SHORT,STANDARD,15,2.471226,2.476174,2.338000,2.446900,TIME,0.13,0.30,4.92,0.0000,NY
46,APT-USDT,LONG,STANDARD,15,3.163260,3.156940,3.320100,3.238800,TIME,0.34,0.80,11.95,0.0000,London
47,SUI-USDT,LONG,STANDARD,15,2.403301,2.398499,2.502900,2.469400,TIME,0.39,0.93,13.77,0.0000,London
48,BTC-USDT,SHORT,STANDARD,15,111368.819700,111591.780300,108650.000000,110603.400000,TIME,0.08,0.19,3.43,0.0000,NY
49,ETH-USDT,SHORT,STANDARD,15,3984.861150,3992.838850,3808.000000,3929.980000,TIME,0.19,0.43,6.88,0.0000,NY
50,PAXG-USDT,LONG,STANDARD,15,4048.054010,4039.965990,4154.730000,4092.460000,TIME,0.14,0.33,5.49,0.0000,NY
51,XRP-USDT,SHORT,STANDARD,15,2.567030,2.572170,2.428200,2.572170,SL,-0.05,-0.12,-1.00,0.0000,London
52,SUI-USDT,SHORT,STANDARD,15,2.535662,2.540738,2.440700,2.511500,TIME,0.12,0.28,4.76,0.0000,London
53,PAXG-USDT,SHORT,STANDARD,15,4126.329540,4134.590460,4044.010000,4110.860000,TIME,0.04,0.08,1.87,0.0000,London
54,DOT-USDT,LONG,STANDARD,15,3.013010,3.006990,3.117000,3.090000,TIME,0.36,0.84,12.79,0.0000,NY
55,BTC-USDT,LONG,STANDARD,15,111195.284200,110973.115800,111902.000000,111902.000000,TP1,0.07,0.17,3.18,0.0000,London
56,ETH-USDT,LONG,STANDARD,15,3920.606690,3912.773310,3967.500000,3967.500000,TP1,0.16,0.36,5.99,0.0000,London
57,DOGE-USDT,LONG,STANDARD,15,0.194755,0.194365,0.198750,0.198750,TP1,0.29,0.66,10.27,0.0000,London
58,ADA-USDT,LONG,STANDARD,15,0.646926,0.645634,0.658890,0.658890,TP1,0.26,0.58,9.26,0.0000,London
59,APT-USDT,SHORT,STANDARD,15,3.323773,3.330427,3.254800,3.330427,SL,-0.05,-0.12,-1.00,0.0000,London
60,OP-USDT,LONG,STANDARD,15,0.438738,0.437862,0.450900,0.450900,TP1,0.39,0.89,13.87,0.0000,London
61,APT-USDT,SHORT,STANDARD,15,3.438258,3.445142,3.275600,3.445142,SL,-0.05,-0.11,-1.00,0.0000,NY
62,NEAR-USDT,SHORT,STANDARD,15,2.412485,2.417315,2.291300,2.361000,TIME,0.30,0.67,10.66,0.0000,London
63,APT-USDT,SHORT,STANDARD,15,3.635861,3.643139,3.310600,3.493300,TIME,0.57,1.26,19.59,0.0000,London
